sender_center_id,9,8,7,6,5,4,3,2,1
9,,1.515,0.9,11.41666666666667,10.08333333333333,9.383333333333333,5.75,3.8,4.95
8,1.515,,1.555,9.883333333333333,8.583333333333334,7.883333333333334,4.25,2.3,3.45
7,0.9,1.555,,11.41666666666667,10.11666666666667,9.416666666666666,5.783333333333333,3.833333333333333,5.733333333333333
6,11.41666666666667,9.883333333333333,11.41666666666667,,1.301666666666667,2.083333333333333,6.5,9.0,6.466666666666667
5,10.08333333333333,8.583333333333334,10.11666666666667,1.301666666666667,,2.3,5.2,7.7,6.683333333333334
4,9.383333333333333,7.883333333333334,9.416666666666666,2.083333333333333,2.3,,5.433333333333334,5.383333333333334,4.383333333333334
3,5.75,4.25,5.783333333333333,6.5,5.2,5.433333333333334,,3.116666666666667,4.2
2,3.8,2.3,3.833333333333333,9.0,7.7,5.383333333333334,3.116666666666667,,3.116666666666667
1,4.95,3.45,5.733333333333333,6.466666666666667,6.683333333333334,4.383333333333334,4.2,3.116666666666667,
